Scattering angle:,30,,,,,Scattering angle:,40,,,,,Scattering angle:,50,,,,,Scattering angle:,60,,,,,Scattering angle:,70,,,,,Scattering angle:,80,,,,,Scattering angle:,90,,,,,Scattering angle:,100,,,,,Scattering angle:,110,,,,,Scattering angle:,120,,,,,Scattering angle:,130,,,
Duration (s):,180,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wavelength (nm):,660,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Refractive index:,1.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Viscosity (mPas):,0.833,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Temperature (K):,301.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
q =,0.006554111,,,,,q =,0.008661024,,,,,q =,0.010702022,,,,,q =,0.01266157,,,,,q =,0.014524757,,,,,q =,0.016277401,,,,,q =,0.017906165,,,,,q =,0.019398651,,,,,q =,0.020743503,,,,,q =,0.021930483,,,,,,,,,
q2 = ,4.29564E-05,,,,,q2 = ,7.50133E-05,,,,,q2 = ,0.000114533,,,,,q2 = ,0.000160315,,,,,q2 = ,0.000210969,,,,,q2 = ,0.000264954,,,,,q2 = ,0.000320631,,,,,q2 = ,0.000376308,,,,,q2 = ,0.000430293,,,,,q2 = ,0.000480946,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lag time (s),g2-1,normalised g2-1,g1 = sqrt(normalised g2-1),ln(g1),,Lag time (s),g2-1,normalised g2-1,g1 = sqrt(normalised g2-1),ln(g1),,Lag time (s)    ,g2-1,normalised g2-1,g1 = sqrt(normalised g2-1),ln(g1),,Lag time (s)  ,g2-1,normalised g2-1,g1 = sqrt(normalised g2-1),ln(g1),,Lag time (s)    ,g2-1,normalised g2-1,g1 = sqrt(normalised g2-1),ln(g1),,Lag time (s)     ,g2-1,normalised g2-1,g1 = sqrt(normalised g2-1),ln(g1),,Lag time (s)     ,g2-1,normalised g2-1,g1 = sqrt(normalised g2-1),ln(g1),,Lag time (s)     ,g2-1,normalised g2-1,g1 = sqrt(normalised g2-1),ln(g1),,Lag time (s)     ,g2-1,normalised g2-1,g1 = sqrt(normalised g2-1),ln(g1),,Lag time (s)     ,g2-1,normalised g2-1,g1 = sqrt(normalised g2-1),ln(g1),,Lag time (s)     ,g2-1,normalised g2-1,g1 = sqrt(normalised g2-1),ln(g1)
1.25E-08,0.950507,1,1,0,,1.25E-08,0.947002,1,1,0,,1.25E-08,0.958801,1,1,0,,1.25E-08,0.971937,1,1,0,,1.25E-08,0.956522,1,1,0,,1.25E-08,0.955575,1,1,0,,1.25E-08,0.967836,1,1,0,,1.25E-08,0.969144,1,1,0,,1.25E-08,0.96809,1,1,0,,1.25E-08,0.960648,1,1,0,,1.25E-08,0.963695,1,1,0
